Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
CSN2	casein beta	NM_001891.4	8	681
CSN3	casein kappa	NM_005212.3	6	549
CSNK1A1	casein kinase 1 alpha 1	NM_001025105.3	11	1098
CSNK1A1L	casein kinase 1 alpha 1 like	NM_145203.6	1	1014
CSNK1D	casein kinase 1 delta	NM_001893.6	9	1248
CSNK1E	casein kinase 1 epsilon	NM_001894.5	11	1251
CSNK1G1	casein kinase 1 gamma 1	NM_022048.5	12	1269
CSNK1G2	casein kinase 1 gamma 2	NM_001319.7	12	1248
CSNK1G3	casein kinase 1 gamma 3	NM_004384.5	13	1344
CSNK2A1	casein kinase 2 alpha 1	NM_001895.4	13	1176
CSNK2A2	casein kinase 2 alpha 2	NM_001896.4	12	1053
CSNK2A3	casein kinase 2 alpha 3	NM_001256686.2	1	1176
CSNK2B	casein kinase 2 beta	NM_001320.7	7	648
CSNKA2IP	casein kinase 2 subunit alpha' interacting protein	NM_001368165.1	2	2205
CSPG4	chondroitin sulfate proteoglycan 4	NM_001897.5	10	6969
CSPG5	chondroitin sulfate proteoglycan 5	NM_001206943.2	5	1701
CSPP1	centrosome and spindle pole associated protein 1	NM_024790.6	29	3666
CSRNP1	cysteine and serine rich nuclear protein 1	NM_001320559.2	5	1830
CSRNP2	cysteine and serine rich nuclear protein 2	NM_030809.3	5	1632
CSRNP3	cysteine and serine rich nuclear protein 3	NM_001172173.2	7	1758
CSRP1	cysteine and glycine rich protein 1	NM_004078.3	6	582
CSRP2	cysteine and glycine rich protein 2	NM_001300965.2	6	582
CSRP3	cysteine and glycine rich protein 3	NM_003476.5	6	585
CST1	cystatin SN	NM_001898.3	3	426
CST11	cystatin 11	NM_130794.2	3	417
CST2	cystatin SA	NM_001322.3	3	426
CST3	cystatin C	NM_000099.4	3	441
CST4	cystatin S	NM_001899.3	3	426
CST5	cystatin D	NM_001900.5	3	429
CST6	cystatin E/M	NM_001323.4	3	450
CST7	cystatin F	NM_003650.4	4	438
CST8	cystatin 8	NM_001281730.2	4	429
CST9	cystatin 9	NM_001008693.3	2	480
CST9L	cystatin 9 like	NM_080610.3	3	444
CSTA	cystatin A	NM_005213.4	3	297
CSTB	cystatin B	NM_000100.4	3	297
CSTF1	cleavage stimulation factor subunit 1	NM_001033521.2	6	1296
CSTF2	cleavage stimulation factor subunit 2	NM_001306206.2	15	1794
CSTF2T	cleavage stimulation factor subunit 2 tau variant	NM_015235.3	1	1851
CSTF3	cleavage stimulation factor subunit 3	NM_001326.3	21	2154
CSTL1	cystatin like 1	NM_138283.1	4	438
CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	NM_001003677.3	9	1014
CT45A1	cancer/testis antigen family 45 member A1	NM_001017417.3	5	570
CT45A10	cancer/testis antigen family 45 member A10	NM_001291527.2	5	570
CT45A3	cancer/testis antigen family 45 member A3	NM_001017435.2	5	570
CT45A5	cancer/testis antigen family 45 member A5	NM_001172288.2	5	570
CT45A8	cancer/testis antigen family 45 member A8	NM_001291535.1	5	570
CT45A9	cancer/testis antigen family 45 member A9	NM_001291540.2	5	570
CT47A1	cancer/testis antigen family 47 member A1	NM_001080146.3	3	867
CT47A10	cancer/testis antigen family 47 member A10	NM_001080137.2	3	867
CT47A11	cancer/testis antigen family 47 member A11	NM_173571.2	3	867
CT47A12	cancer/testis antigen family 47 member A12	NM_001242922.2	3	867
CT47A2	cancer/testis antigen family 47 member A2	NM_001080145.2	3	867
CT47A3	cancer/testis antigen family 47 member A3	NM_001080144.2	3	867
CT47A4	cancer/testis antigen family 47 member A4	NM_001080143.2	3	867
CT47A5	cancer/testis antigen family 47 member A5	NM_001080142.2	3	867
CT47A6	cancer/testis antigen family 47 member A6	NM_001080141.2	3	867
CT47A7	cancer/testis antigen family 47 member A7	NM_001080140.1	3	867
CT47A8	cancer/testis antigen family 47 member A8	NM_001080139.2	3	867
CT47A9	cancer/testis antigen family 47 member A9	NM_001080138.2	3	867
CT47B1	cancer/testis antigen family 47 member B1	NM_001145718.3	3	900
CT47C1	cancer/testis antigen family 47 member C1	NM_001396132.1	3	975
CT55	cancer/testis antigen 55	NM_001031705.3	6	795
CT83	cancer/testis antigen 83	NM_001017978.4	2	342
CTAG1A	cancer/testis antigen 1A	NM_139250.2	3	543
CTAG1B	cancer/testis antigen 1B	NM_001327.3	3	543
CTAG2	cancer/testis antigen 2	NM_020994.5	2	633
CTAGE1	cutaneous T cell lymphoma-associated antigen 1	NM_172241.3	1	2238
CTAGE15	CTAGE family member 15	NM_001008747.2	1	2334
CTAGE4	CTAGE family member 4	NM_198495.3	1	2334
CTAGE6	CTAGE family member 6	NM_178561.5	1	2334
CTAGE8	CTAGE family member 8	NM_001278507.2	1	2334
CTAGE9	CTAGE family member 9	NM_001145659.1	1	2334
CTBP1	C-terminal binding protein 1	NM_001328.3	9	1323
CTBP2	C-terminal binding protein 2	NM_022802.3	9	2958
CTBS	chitobiase	NM_004388.3	7	1158
CTC1	CST telomere replication complex component 1	NM_025099.6	23	3654
CTCF	CCCTC-binding factor	NM_006565.4	12	2184
CTCFL	CCCTC-binding factor like	NM_001269040.2	11	1992
CTDNEP1	CTD nuclear envelope phosphatase 1	NM_001143775.2	8	735
CTDP1	CTD phosphatase subunit 1	NM_004715.5	13	2886
CTDSP1	CTD small phosphatase 1	NM_001206878.2	7	783
CTDSP2	CTD small phosphatase 2	NM_005730.4	8	816
CTDSPL	CTD small phosphatase like	NM_001008392.2	8	831
CTDSPL2	CTD small phosphatase like 2	NM_016396.3	13	1401
CTF1	cardiotrophin 1	NM_001330.5	3	606
CTH	cystathionine gamma-lyase	NM_001902.6	12	1218
CTHRC1	collagen triple helix repeat containing 1	NM_138455.4	4	732
CTIF	cap binding complex dependent translation initiation factor	NM_014772.3	12	1797
CTLA4	cytotoxic T-lymphocyte associated protein 4	NM_005214.5	4	672
CTNNA1	catenin alpha 1	NM_001903.5	18	2721
CTNNA2	catenin alpha 2	NM_001164883.2	17	2583
CTNNA3	catenin alpha 3	NM_013266.4	18	2688
CTNNAL1	catenin alpha like 1	NM_003798.4	19	2205
CTNNB1	catenin beta 1	NM_001904.4	15	2346
CTNNBIP1	catenin beta interacting protein 1	NM_001012329.2	5	246
CTNNBL1	catenin beta like 1	NM_030877.5	16	1692
CTNND1	catenin delta 1	NM_001085458.2	21	2907
CTNND2	catenin delta 2	NM_001332.4	22	3678
CTNS	cystinosin, lysosomal cystine transporter	NM_004937.3	12	1104
CTPS1	CTP synthase 1	NM_001905.4	19	1776
CTPS2	CTP synthase 2	NM_019857.5	19	1761
CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	NM_014633.5	25	3522
CTRB1	chymotrypsinogen B1	NM_001906.6	7	792
CTRB2	chymotrypsinogen B2	NM_001025200.4	7	792
CTRC	chymotrypsin C	NM_007272.3	8	807
CTRL	chymotrypsin like	NM_001907.3	7	795
CTSA	cathepsin A	NM_000308.4	15	1443
CTSB	cathepsin B	NM_001908.5	10	1020
CTSC	cathepsin C	NM_001814.6	7	1392
CTSD	cathepsin D	NM_001909.5	9	1239
CTSE	cathepsin E	NM_001910.4	9	1191
CTSF	cathepsin F	NM_003793.4	13	1455
CTSG	cathepsin G	NM_001911.3	5	768
CTSH	cathepsin H	NM_004390.5	12	1008
CTSK	cathepsin K	NM_000396.4	8	990
CTSL	cathepsin L	NM_001912.5	8	1002
CTSO	cathepsin O	NM_001334.3	8	966
CTSS	cathepsin S	NM_004079.5	8	996
CTSV	cathepsin V	NM_001201575.2	8	1005
CTSW	cathepsin W	NM_001335.4	10	1131
CTSZ	cathepsin Z	NM_001336.4	6	912
CTTN	cortactin	NM_001184740.2	19	1905
CTTNBP2	cortactin binding protein 2	NM_033427.3	23	4992
CTTNBP2NL	CTTNBP2 N-terminal like	NM_018704.3	6	1920
CTU1	cytosolic thiouridylase subunit 1	NM_145232.4	3	1047
CTU2	cytosolic thiouridylase subunit 2	NM_001012759.3	15	1548
CTXN1	cortexin 1	NM_206833.4	2	249
CTXN2	cortexin 2	NM_001145668.2	2	246
CTXN3	cortexin 3	NM_001048252.3	3	246
CTXND1	cortexin domain containing 1	NM_001352888.2	3	180
CTXND2	cortexin domain containing 2	NM_001384189.2	2	168
CUBN	cubilin	NM_001081.4	67	10872
CUEDC1	CUE domain containing 1	NM_001271875.2	11	1161
CUEDC2	CUE domain containing 2	NM_024040.3	9	864
CUL1	cullin 1	NM_003592.3	22	2331
CUL2	cullin 2	NM_001198778.2	21	2295
CUL3	cullin 3	NM_003590.5	16	2307
CUL4A	cullin 4A	NM_001008895.4	20	2280
CUL4B	cullin 4B	NM_003588.4	22	2742
CUL5	cullin 5	NM_003478.6	19	2343
CUL7	cullin 7	NM_014780.5	26	5097
CUL9	cullin 9	NM_015089.4	41	7554
CUTA	cutA divalent cation tolerance homolog	NM_001014433.3	6	471
CUTC	cutC copper transporter	NM_015960.3	9	822
CUX1	cut like homeobox 1	NM_001202543.2	24	4551
CUX2	cut like homeobox 2	NM_015267.4	22	4461
CUZD1	CUB and zona pellucida like domains 1	NM_022034.6	9	1824
CWC15	CWC15 spliceosome associated protein homolog	NM_016403.4	7	689
CWC22	CWC22 spliceosome associated protein homolog	NM_020943.3	20	2727
CWC25	CWC25 spliceosome associated protein homolog	NM_017748.5	10	1278
CWC27	CWC27 spliceosome associated cyclophilin	NM_005869.4	14	1419
CWF19L1	CWF19 like cell cycle control factor 1	NM_018294.6	14	1617
CWF19L2	CWF19 like cell cycle control factor 2	NM_152434.3	18	2685
CWH43	cell wall biogenesis 43 C-terminal homolog	NM_025087.3	16	2100
CX3CL1	C-X3-C motif chemokine ligand 1	NM_002996.6	3	1194
CX3CR1	C-X3-C motif chemokine receptor 1	NM_001337.4	2	1068
CXADR	CXADR Ig-like cell adhesion molecule	NM_001338.5	7	1098
CXCL1	C-X-C motif chemokine ligand 1	NM_001511.4	4	324
CXCL10	C-X-C motif chemokine ligand 10	NM_001565.4	4	297
CXCL11	C-X-C motif chemokine ligand 11	NM_005409.5	4	285
CXCL12	C-X-C motif chemokine ligand 12	NM_199168.4	3	270
CXCL13	C-X-C motif chemokine ligand 13	NM_006419.3	5	330
CXCL14	C-X-C motif chemokine ligand 14	NM_004887.5	4	300
CXCL16	C-X-C motif chemokine ligand 16	NM_001100812.2	5	765
CXCL17	C-X-C motif chemokine ligand 17	NM_198477.3	4	360
CXCL2	C-X-C motif chemokine ligand 2	NM_002089.4	4	324
CXCL3	C-X-C motif chemokine ligand 3	NM_002090.3	4	324
CXCL5	C-X-C motif chemokine ligand 5	NM_002994.5	4	345
CXCL6	C-X-C motif chemokine ligand 6	NM_002993.4	4	345
CXCL8	C-X-C motif chemokine ligand 8	NM_000584.4	4	300
CXCL9	C-X-C motif chemokine ligand 9	NM_002416.3	4	378
CXCR1	C-X-C motif chemokine receptor 1	NM_000634.3	2	1053
CXCR2	C-X-C motif chemokine receptor 2	NM_001557.4	3	1083
CXCR3	C-X-C motif chemokine receptor 3	NM_001504.2	2	1107
CXCR4	C-X-C motif chemokine receptor 4	NM_003467.3	2	1059
CXCR5	C-X-C motif chemokine receptor 5	NM_001716.5	2	1119
CXCR6	C-X-C motif chemokine receptor 6	NM_006564.2	2	1029
CXorf38	chromosome X open reading frame 38	NM_144970.3	7	960
CXorf49	chromosome X open reading frame 49	NM_001145140.2	6	1545
CXorf49B	chromosome X open reading frame 49B	NM_001145139.2	6	1545
CXorf51A	chromosome X open reading frame 51A	NM_001144064.3	2	327
CXorf51B	chromosome X open reading frame 51B	NM_001244892.2	2	327
CXorf58	chromosome X open reading frame 58	NM_152761.3	9	999
CXorf65	chromosome X open reading frame 65	NM_001025265.3	6	552
CXorf66	chromosome X open reading frame 66	NM_001013403.3	3	1086
CXXC1	CXXC finger protein 1	NM_001101654.2	15	1983
CXXC4	CXXC finger protein 4	NM_025212.4	3	1104
CXXC5	CXXC finger protein 5	NM_001317199.2	4	969
CYB561	cytochrome b561	NM_001915.4	6	756
CYB561A3	cytochrome b561 family member A3	NM_001300763.2	7	792
CYB561D1	cytochrome b561 family member D1	NM_001134400.2	3	756
CYB561D2	cytochrome b561 family member D2	NM_001291284.2	4	669
CYB5A	cytochrome b5 type A	NM_001914.4	6	297
CYB5B	cytochrome b5 type B	NM_030579.3	5	453
CYB5D1	cytochrome b5 domain containing 1	NM_144607.6	4	687
CYB5D2	cytochrome b5 domain containing 2	NM_144611.4	4	795
CYB5R1	cytochrome b5 reductase 1	NM_016243.3	9	918
CYB5R2	cytochrome b5 reductase 2	NM_016229.5	9	831
CYB5R3	cytochrome b5 reductase 3	NM_000398.7	9	906
CYB5R4	cytochrome b5 reductase 4	NM_016230.4	16	1566
CYB5RL	cytochrome b5 reductase like	NM_001031672.4	8	948
CYBA	cytochrome b-245 alpha chain	NM_000101.4	6	588
CYBB	cytochrome b-245 beta chain	NM_000397.4	13	1713
CYBC1	cytochrome b-245 chaperone 1	NM_001033046.4	7	564
CYBRD1	cytochrome b reductase 1	NM_024843.4	4	861
CYC1	cytochrome c1	NM_001916.5	7	978
CYCS	cytochrome c, somatic	NM_018947.6	3	318
CYFIP1	cytoplasmic FMR1 interacting protein 1	NM_014608.6	31	3762
CYFIP2	cytoplasmic FMR1 interacting protein 2	NM_001037333.3	31	3762
CYGB	cytoglobin	NM_134268.5	4	573
CYLC1	cylicin 1	NM_021118.3	5	1956
CYLC2	cylicin 2	NM_001340.5	8	1047
CYLD	CYLD lysine 63 deubiquitinase	NM_015247.3	20	2871
CYP11A1	cytochrome P450 family 11 subfamily A member 1	NM_000781.3	9	1566
CYP11B1	cytochrome P450 family 11 subfamily B member 1	NM_000497.4	9	1512
CYP11B2	cytochrome P450 family 11 subfamily B member 2	NM_000498.3	9	1512
CYP17A1	cytochrome P450 family 17 subfamily A member 1	NM_000102.4	8	1527
CYP19A1	cytochrome P450 family 19 subfamily A member 1	NM_031226.3	11	1512
CYP1A1	cytochrome P450 family 1 subfamily A member 1	NM_000499.5	7	1539
CYP1A2	cytochrome P450 family 1 subfamily A member 2	NM_000761.5	7	1551
CYP1B1	cytochrome P450 family 1 subfamily B member 1	NM_000104.4	3	1632
CYP20A1	cytochrome P450 family 20 subfamily A member 1	NM_177538.3	13	1389
CYP21A2	cytochrome P450 family 21 subfamily A member 2	NM_000500.9	10	1488
CYP24A1	cytochrome P450 family 24 subfamily A member 1	NM_000782.5	12	1545
CYP26A1	cytochrome P450 family 26 subfamily A member 1	NM_000783.4	7	1494
CYP26B1	cytochrome P450 family 26 subfamily B member 1	NM_019885.4	6	1539
CYP26C1	cytochrome P450 family 26 subfamily C member 1	NM_183374.3	6	1569
CYP27A1	cytochrome P450 family 27 subfamily A member 1	NM_000784.4	9	1596
CYP27B1	cytochrome P450 family 27 subfamily B member 1	NM_000785.4	9	1527
CYP27C1	cytochrome P450 family 27 subfamily C member 1	NM_001001665.4	8	1119
CYP2A13	cytochrome P450 family 2 subfamily A member 13	NM_000766.5	9	1485
CYP2A6	cytochrome P450 family 2 subfamily A member 6	NM_000762.6	9	1485
CYP2A7	cytochrome P450 family 2 subfamily A member 7	NM_000764.3	9	1485
CYP2B6	cytochrome P450 family 2 subfamily B member 6	NM_000767.5	9	1476
CYP2C18	cytochrome P450 family 2 subfamily C member 18	NM_000772.3	9	1473
CYP2C19	cytochrome P450 family 2 subfamily C member 19	NM_000769.4	9	1473
CYP2C8	cytochrome P450 family 2 subfamily C member 8	NM_000770.3	9	1473
CYP2C9	cytochrome P450 family 2 subfamily C member 9	NM_000771.4	9	1473
CYP2D6	cytochrome P450 family 2 subfamily D member 6	NM_000106.6	9	1494
CYP2E1	cytochrome P450 family 2 subfamily E member 1	NM_000773.4	9	1482
CYP2F1	cytochrome P450 family 2 subfamily F member 1	NM_000774.5	10	1476
CYP2J2	cytochrome P450 family 2 subfamily J member 2	NM_000775.4	9	1509
CYP2R1	cytochrome P450 family 2 subfamily R member 1	NM_024514.5	5	1506
CYP2S1	cytochrome P450 family 2 subfamily S member 1	NM_030622.8	9	1515
CYP2U1	cytochrome P450 family 2 subfamily U member 1	NM_183075.3	5	1635
CYP2W1	cytochrome P450 family 2 subfamily W member 1	NM_017781.3	9	1473
CYP39A1	cytochrome P450 family 39 subfamily A member 1	NM_016593.5	12	1410
CYP3A4	cytochrome P450 family 3 subfamily A member 4	NM_017460.6	13	1512
CYP3A43	cytochrome P450 family 3 subfamily A member 43	NM_022820.5	13	1515
CYP3A5	cytochrome P450 family 3 subfamily A member 5	NM_000777.5	13	1509
CYP3A7	cytochrome P450 family 3 subfamily A member 7	NM_000765.5	13	1512
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough	NM_001256497.3	15	1608
CYP46A1	cytochrome P450 family 46 subfamily A member 1	NM_006668.2	15	1503
CYP4A11	cytochrome P450 family 4 subfamily A member 11	NM_000778.4	12	1560
CYP4A22	cytochrome P450 family 4 subfamily A member 22	NM_001010969.4	12	1560
CYP4B1	cytochrome P450 family 4 subfamily B member 1	NM_001099772.2	12	1539
CYP4F11	cytochrome P450 family 4 subfamily F member 11	NM_021187.4	12	1575
CYP4F12	cytochrome P450 family 4 subfamily F member 12	NM_023944.4	13	1575
CYP4F2	cytochrome P450 family 4 subfamily F member 2	NM_001082.5	13	1563
CYP4F22	cytochrome P450 family 4 subfamily F member 22	NM_173483.4	14	1596
CYP4F3	cytochrome P450 family 4 subfamily F member 3	NM_001199209.2	13	1563
CYP4F8	cytochrome P450 family 4 subfamily F member 8	NM_007253.4	13	1562
CYP4V2	cytochrome P450 family 4 subfamily V member 2	NM_207352.4	11	1578
CYP4X1	cytochrome P450 family 4 subfamily X member 1	NM_178033.2	12	1530
CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	NM_178134.3	12	1518
CYP51A1	cytochrome P450 family 51 subfamily A member 1	NM_000786.4	10	1530
CYP7A1	cytochrome P450 family 7 subfamily A member 1	NM_000780.4	6	1515
CYP7B1	cytochrome P450 family 7 subfamily B member 1	NM_004820.5	6	1521
CYP8B1	cytochrome P450 family 8 subfamily B member 1	NM_004391.3	1	1506
CYREN	cell cycle regulator of NHEJ	NM_024033.4	4	474
CYRIA	CYFIP related Rac1 interactor A	NM_030797.4	12	972
CYRIB	CYFIP related Rac1 interactor B	NM_001256763.2	13	975
CYS1	cystin 1	NM_001037160.3	3	477
CYSLTR1	cysteinyl leukotriene receptor 1	NM_006639.4	3	1014
CYSLTR2	cysteinyl leukotriene receptor 2	NM_020377.5	5	1041
CYSRT1	cysteine rich tail 1	NM_199001.5	2	435
CYSTM1	cysteine rich transmembrane module containing 1	NM_032412.4	3	294
CYTH1	cytohesin 1	NM_004762.6	14	1197
CYTH2	cytohesin 2	NM_017457.6	13	1203
CYTH3	cytohesin 3	NM_004227.4	13	1200
CYTH4	cytohesin 4	NM_013385.5	13	1185
CYTIP	cytohesin 1 interacting protein	NM_004288.5	8	1080
CYTL1	cytokine like 1	NM_018659.3	4	411
CYYR1	cysteine and tyrosine rich 1	NM_001320768.2	4	468
CZIB	CXXC motif containing zinc binding protein	NM_017887.3	8	483
D2HGDH	D-2-hydroxyglutarate dehydrogenase	NM_152783.5	10	1566
DAAM1	dishevelled associated activator of morphogenesis 1	NM_014992.2	25	3237
DAAM2	dishevelled associated activator of morphogenesis 2	NM_001201427.2	25	3207
DAB1	DAB adaptor protein 1	NM_021080.5	17	1668
DAB2	DAB adaptor protein 2	NM_001343.4	15	2313
DAB2IP	DAB2 interacting protein	NM_032552.4	17	3399
DACH1	dachshund family transcription factor 1	NM_080759.6	11	2121
DACH2	dachshund family transcription factor 2	NM_053281.3	12	1800
DACT1	dishevelled binding antagonist of beta catenin 1	NM_016651.6	4	2511
DACT2	dishevelled binding antagonist of beta catenin 2	NM_214462.5	4	2325
DACT3	dishevelled binding antagonist of beta catenin 3	NM_145056.3	4	1890
DAD1	defender against cell death 1	NM_001344.4	3	342
DAG1	dystroglycan 1	NM_004393.6	3	2688
DAGLA	diacylglycerol lipase alpha	NM_006133.3	20	3129
DAGLB	diacylglycerol lipase beta	NM_139179.4	15	2019
DALRD3	DALR anticodon binding domain containing 3	NM_001009996.3	12	1632
DAND5	DAN domain BMP antagonist family member 5	NM_152654.3	2	570
DAO	D-amino acid oxidase	NM_001917.5	11	1044
DAOA	D-amino acid oxidase activator	NM_172370.5	6	462
DAP	death associated protein	NM_001291963.2	3	615
DAP3	death associated protein 3	NM_004632.4	13	1197
DAPK1	death associated protein kinase 1	NM_004938.4	26	4293
DAPK2	death associated protein kinase 2	NM_014326.5	12	1113
DAPK3	death associated protein kinase 3	NM_001348.3	9	1365
DAPL1	death associated protein like 1	NM_001017920.3	4	324
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	NM_014395.3	9	843
DARS1	aspartyl-tRNA synthetase 1	NM_001349.4	16	1506
DARS2	aspartyl-tRNA synthetase 2, mitochondrial	NM_018122.5	17	1938
DAW1	dynein assembly factor with WD repeats 1	NM_178821.3	13	1248
DAXX	death domain associated protein	NM_001141970.2	8	2259
DAZ1	deleted in azoospermia 1	NM_004081.7	28	2235
DAZ2	deleted in azoospermia 2	NM_020363.3	24	1677
DAZ3	deleted in azoospermia 3	NM_020364.4	19	1317
DAZ4	deleted in azoospermia 4	NM_001005375.3	23	1740
DAZAP1	DAZ associated protein 1	NM_018959.4	12	1224
DAZAP2	DAZ associated protein 2	NM_001136266.2	4	624
DAZL	deleted in azoospermia like	NM_001351.4	11	888
DBF4	DBF4 zinc finger	NM_006716.4	12	2025
DBF4B	DBF4 zinc finger B	NM_145663.3	14	1848
DBH	dopamine beta-hydroxylase	NM_000787.4	12	1854
DBI	diazepam binding inhibitor, acyl-CoA binding protein	NM_001079862.4	4	264
DBN1	drebrin 1	NM_080881.3	15	1956
DBNDD1	dysbindin domain containing 1	NM_001288709.2	4	231
DBNDD2	dysbindin domain containing 2	NM_001048225.4	3	486
DBNL	drebrin like	NM_001122956.2	13	1320
DBP	D-box binding PAR bZIP transcription factor	NM_001352.5	4	978
DBR1	debranching RNA lariats 1	NM_016216.4	8	1635
DBT	dihydrolipoamide branched chain transacylase E2	NM_001918.5	11	1449
DBX1	developing brain homeobox 1	NM_001029865.4	4	1032
DBX2	developing brain homeobox 2	NM_001004329.3	4	1020
DCAF1	DDB1 and CUL4 associated factor 1	NM_014703.3	25	4365
DCAF10	DDB1 and CUL4 associated factor 10	NM_024345.5	7	1680
DCAF11	DDB1 and CUL4 associated factor 11	NM_025230.5	15	1641
DCAF12	DDB1 and CUL4 associated factor 12	NM_015397.4	9	1362
DCAF12L1	DDB1 and CUL4 associated factor 12 like 1	NM_178470.5	2	1392
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	NM_001013628.3	1	1392
DCAF13	DDB1 and CUL4 associated factor 13	NM_015420.7	11	1338
DCAF15	DDB1 and CUL4 associated factor 15	NM_138353.4	13	1803
DCAF16	DDB1 and CUL4 associated factor 16	NM_001345880.2	4	651
DCAF17	DDB1 and CUL4 associated factor 17	NM_025000.4	14	1563
DCAF4	DDB1 and CUL4 associated factor 4	NM_015604.4	14	1488
DCAF4L1	DDB1 and CUL4 associated factor 4 like 1	NM_001029955.4	1	1191
DCAF4L2	DDB1 and CUL4 associated factor 4 like 2	NM_152418.4	1	1188
DCAF5	DDB1 and CUL4 associated factor 5	NM_001284206.1	9	2826
DCAF6	DDB1 and CUL4 associated factor 6	NM_001198956.2	22	2856
DCAF7	DDB1 and CUL4 associated factor 7	NM_005828.5	7	1029
DCAF8	DDB1 and CUL4 associated factor 8	NM_015726.4	14	1794
DCAF8L1	DDB1 and CUL4 associated factor 8 like 1	NM_001017930.2	1	1803
DCAF8L2	DDB1 and CUL4 associated factor 8 like 2	NM_001353448.2	7	1896
DCAKD	dephospho-CoA kinase domain containing	NM_024819.7	5	696
DCANP1	dendritic cell associated nuclear protein 1	NM_130848.3	1	735
DCBLD1	discoidin, CUB and LCCL domain containing 1	NM_173674.3	15	1620
DCBLD2	discoidin, CUB and LCCL domain containing 2	NM_080927.4	16	2328
DCC	DCC netrin 1 receptor	NM_005215.4	29	4344
DCD	dermcidin	NM_001300854.2	6	366
DCDC1	doublecortin domain containing 1	NM_020869.4	20	2673
DCDC2	doublecortin domain containing 2	NM_016356.5	10	1431
DCDC2B	doublecortin domain containing 2B	NM_001099434.2	9	1050
DCDC2C	doublecortin domain containing 2C	NM_001287444.2	11	1095
DCHS1	dachsous cadherin-related 1	NM_003737.4	21	9897
DCHS2	dachsous cadherin-related 2	NM_001358235.2	20	10116
DCK	deoxycytidine kinase	NM_000788.3	7	783
DCLK1	doublecortin like kinase 1	NM_004734.5	18	2190
DCLK2	doublecortin like kinase 2	NM_001040261.5	17	2352
DCLK3	doublecortin like kinase 3	NM_033403.1	5	1947
DCLRE1A	DNA cross-link repair 1A	NM_014881.5	9	3123
DCLRE1B	DNA cross-link repair 1B	NM_022836.4	4	1599
DCLRE1C	DNA cross-link repair 1C	NM_001033855.3	14	2079
DCN	decorin	NM_001920.5	8	1080
DCP1A	decapping mRNA 1A	NM_018403.7	10	1749
DCP1B	decapping mRNA 1B	NM_152640.5	9	1854
DCP2	decapping mRNA 2	NM_152624.6	11	1263
DCPS	decapping enzyme, scavenger	NM_014026.6	6	1014
DCST1	DC-STAMP domain containing 1	NM_152494.4	17	2121
DCST2	DC-STAMP domain containing 2	NM_144622.3	15	2322
DCSTAMP	dendrocyte expressed seven transmembrane protein	NM_030788.4	4	1413
DCT	dopachrome tautomerase	NM_001129889.3	10	1659
DCTD	dCMP deaminase	NM_001921.3	6	537
DCTN1	dynactin subunit 1	NM_004082.5	32	3837
DCTN2	dynactin subunit 2	NM_006400.5	16	1221
DCTN3	dynactin subunit 3	NM_007234.5	7	561
DCTN4	dynactin subunit 4	NM_001135643.2	14	1404
DCTN5	dynactin subunit 5	NM_032486.4	6	549
DCTN6	dynactin subunit 6	NM_006571.4	7	573
DCTPP1	dCTP pyrophosphatase 1	NM_024096.2	3	513
DCUN1D1	defective in cullin neddylation 1 domain containing 1	NM_020640.4	7	780
DCUN1D2	defective in cullin neddylation 1 domain containing 2	NM_001014283.2	7	780
DCUN1D3	defective in cullin neddylation 1 domain containing 3	NM_173475.4	3	915
DCUN1D4	defective in cullin neddylation 1 domain containing 4	NM_001287755.1	11	1011
DCUN1D5	defective in cullin neddylation 1 domain containing 5	NM_032299.4	8	714
DCX	doublecortin	NM_178153.3	7	1083
DCXR	dicarbonyl and L-xylulose reductase	NM_016286.4	8	735
DDA1	DET1 and DDB1 associated 1	NM_024050.6	5	309
DDAH1	dimethylarginine dimethylaminohydrolase 1	NM_012137.4	6	858
DDAH2	dimethylarginine dimethylaminohydrolase 2	NM_013974.3	7	858
DDB1	damage specific DNA binding protein 1	NM_001923.5	27	3423
DDB2	damage specific DNA binding protein 2	NM_000107.3	10	1284
DDC	dopa decarboxylase	NM_000790.4	15	1443
DDHD1	DDHD domain containing 1	NM_001160147.2	13	2640
DDHD2	DDHD domain containing 2	NM_015214.3	18	2136
DDI1	DNA damage inducible 1 homolog 1	NM_001001711.3	1	1191
DDI2	DNA damage inducible 1 homolog 2	NM_032341.5	10	1200
DDIAS	DNA damage induced apoptosis suppressor	NM_145018.4	6	2997
DDIT3	DNA damage inducible transcript 3	NM_001195053.1	4	579
DDIT4	DNA damage inducible transcript 4	NM_019058.4	3	699
DDIT4L	DNA damage inducible transcript 4 like	NM_145244.4	3	582
DDN	dendrin	NM_015086.2	2	2136
DDO	D-aspartate oxidase	NM_001372108.2	5	1026
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	NM_005216.5	11	1320
DDR1	discoidin domain receptor tyrosine kinase 1	NM_013994.3	18	2760
